name1,hall1,score1,name2,hall2,score2
Hermione Granger,4,298.5,Barracuda,8,213.75
Lord Voldemort,4,151,Coral Reeves,8,112.75
Severus Snape,4,247,Marlin Swordtail,8,152
Harry Potter,4,136.75,Angel Shark,8,215
Draco Malfoy,4,242,Dory Bluetang,8,174.75
Sansa Stark,3,149.5,"Bond, James Bond",HallA,114
Jon Snow,3,157.5,Teddy Roosevelt,HallA,106
Arya Stark,3,94,Georgia O'Keeffe,HallA,20.5
Tyrion Lannister,3,216.5,George Raymond Richard Martin,HallA,108.25
Cersei Lannister,3,247.5,Paul Murphy,HallA,114.75
Finn the Human,2,199.75,Maximilian Bartholomew Featherstonehaugh-Cholmondeley,HallC,259.5
Princess Bubblegum,2,81.25,Jean-Claude Van Damme III,HallC,151.25
Jake the Dog,2,277,"van der Berg, Willem",HallC,234.75
Flame Princess,2,267.5,Bob,HallC,220.75
BMO,2,120,"Anne ""Rock"" Marble",HallC,172
Eleven,5,91.5,Jose Raul Capablanca,HallB,5
Jim Hopper,5,172.25,Paul Morphy,HallB,79.5
Dustin Henderson,5,155.25,Mikhail Tal,HallB,229.5
Mike Wheeler,5,123,Alexander Alekhine,HallB,121
Joyce Byers,5,115.75,Tigran Petrosian,HallB,29.25
Loid Forger,6,101,Angela Moss,7,99
Yor Forger,6,196.25,Darlene Alderson,7,112.25
Sylvia Sherwood,6,162.75,Krista Gordon,7,80.75
Damian Desmond,6,260,Gideon Goddard,7,260
Franky Franklin,6,216.75,Leon,7,216.75
Walter White,1,,WALKOVER,,
Gus Fring,1,,WALKOVER,,
Hank Schrader,1,,WALKOVER,,
Mike Ehrmantraut,1,,WALKOVER,,
Kim Wexler,1,,WALKOVER,,
