name,trueElo,perfElo,rdTrueElo,volTrueElo,rdPerfElo,volPerfElo,lastRound,lastHall,capped
Joyce Byers,933,768,244.1903,0.059694,240.8558,0.059666,t16,5,false
Draco Malfoy,786,747,253.6173,0.059696,243.5927,0.059666,t16,4,false
Jon Snow,1026,747,252.0210,0.059648,243.5917,0.059582,t2,3,true
Jake the Dog,815,747,243.2217,0.059604,243.5917,0.059582,t8,2,false
Paul Morphy,1087,1000,350.0000,0.059847,350.0000,0.059830,t8,HallB,false
Mike Ehrmantraut,1293,1253,243.2220,0.059625,243.5917,0.059582,t8,1,false
Harry Potter,607,747,296.1282,0.059549,243.5907,0.059499,t2,4,false
Jaime Lannister,1098,747,248.4904,0.059700,243.5925,0.059666,t2,3,false
Cleopatra,916,747,243.5392,0.059622,243.5914,0.059582,t8,HallA,false
Mikhail Tal,709,747,249.8406,0.059777,243.5938,0.059750,5,HallB,false
Teddy Roosevelt,427,747,324.9875,0.059636,243.5764,0.059582,t8,HallA,false
Mike Wheeler,561,747,333.3067,0.059730,243.5927,0.059666,t8,5,false
Gandhi,869,747,248.7546,0.059617,243.5917,0.059582,t8,HallA,false
Princess Bubblegum,1117,1253,257.8281,0.059620,243.5773,0.059582,t8,2,false
Finn the Human,341,747,248.5289,0.059647,243.5917,0.059582,t8,2,false
Qin Shi Huang,1298,1253,250.2207,0.059626,243.5918,0.059582,t8,HallA,true
Severus Snape,1629,1253,248.4872,0.059407,243.5889,0.059334,t2,4,false
Kim Wexler,1277,1253,257.2102,0.059482,243.5898,0.059416,t4,1,true
Dustin Henderson,347,747,242.5320,0.059533,243.5907,0.059499,t8,5,false
Sansa Stark,1700,1253,318.1666,0.059416,243.5888,0.059334,t2,3,false
Walter White,712,747,276.9883,0.059540,243.5908,0.059499,t8,1,false
Will Byers,428,747,249.3557,0.059629,243.5917,0.059582,t8,5,false
Alexander Alekhine,870,747,253.8229,0.059718,243.5928,0.059666,t4,HallB,true
Daenerys Targaryen,1345,1253,296.1282,0.059554,243.5907,0.059499,t2,3,true
Tigran Petrosian,1158,747,241.9465,0.059683,243.5926,0.059666,t4,HallB,false
Jose Raul Capablanca,1842,1253,261.3278,0.059646,243.5833,0.059582,t4,HallB,true
Jesse Pinkman,234,747,298.2907,0.059500,243.5898,0.059416,t4,1,false
Cersei Lannister,1831,1253,246.5718,0.059550,243.5907,0.059499,t2,3,false
Flame Princess,1233,1252,278.8506,0.059770,243.5329,0.059750,5,2,false
Ron Weasley,1357,747,246.5714,0.059514,243.5898,0.059416,t2,4,true
Eleven,485,747,343.2902,0.059583,243.5908,0.059499,t8,5,false
Ice King,1361,1253,276.9895,0.059639,243.5917,0.059582,t8,2,false
Hermione Granger,1201,1000,256.8693,0.059472,216.0396,0.059413,t4,4,false
Hank Schrader,634,1000,256.8694,0.059482,216.0396,0.059413,t4,1,true
Tyrion Lannister,1160,776,256.1739,0.059551,239.7269,0.059499,t4,3,true
BMO,1139,1253,287.8320,0.059770,243.5879,0.059750,t16,2,false
Lucas Sinclair,1485,1253,252.4945,0.059646,243.5917,0.059582,t8,5,false
Emanuel Lasker,942,747,244.6062,0.059717,243.5921,0.059666,t4,HallB,false
Saul Goodman,595,748,340.1299,0.059729,243.4601,0.059666,t4,1,false
Arya Stark,829,747,250.2217,0.059724,243.5927,0.059666,t8,3,true
Lord Voldemort,823,747,318.1690,0.059595,243.5906,0.059499,t2,4,false
Bobby Fischer,1724,1224,256.1764,0.059770,239.7295,0.059749,t4,HallB,false
Marceline,527,994,330.6113,0.059805,216.0730,0.059746,t8,2,false
Jim Hopper,797,747,282.1143,0.059719,243.5928,0.059666,t16,5,false
Albus Dumbledore,1491,1253,252.0203,0.059567,243.5908,0.059499,t2,4,false
Gus Fring,963,747,253.5682,0.059798,243.5935,0.059750,t4,1,false
