name1,hall1,winby1,name2,hall2,winby2
Kim Wexler,1,230,Albus Dumbledore,4,
Walter White,1,,Draco Malfoy,4,214
Mike Ehrmantraut,1,,Severus Snape,4,124
Jesse Pinkman,1,31.5,Harry Potter,4,
Hank Schrader,1,,Hermione Granger,4,190.5
Arya Stark,3,287.5,Lucas Sinclair,5,
Sansa Stark,3,262,Eleven,5,
Cersei Lannister,3,331,Jim Hopper,5,
Tyrion Lannister,3,329,Joyce Byers,5,
Jon Snow,3,334.5,Mike Wheeler,5,
Finn the Human,2,,Teddy Rosevelt,HallA,239.5
Jake the Dog,2,,Gandhi,HallA,206
Ice King,2,,Cleopatra,HallA,161
Princess Bubblegum,2,124,Qin Shi Huang,HallA,
Marceline,2,,WALKOVER,HallA,
Mikhail Tal,HallB,,WALKOVER,,
Emanuel Lasker,HallB,,WALKOVER,,
Jose Raul Capablanca,HallB,,WALKOVER,,
Bobby Fischer,HallB,,WALKOVER,,
Tigran Petrosian,HallB,,WALKOVER,,
