name1,hall1,winby1,name2,hall2,winby2
Daenerys Targaryen,3,293,Kim Wexler,1,
Tyrion Lannister,3,334.5,Jesse Pinkman,1,
Arya Stark,3,331.5,Hank Schrader,1,
Sansa Stark,3,304.5,Walter White,1,
Cersei Lannister,3,,Gus Fring,1,68
Lord Voldemort,4,366.5,Marceline,2,
Albus Dumbledore,4,,BMO,2,80
Harry Potter,4,,Jake the Dog,2,108
Ron Weasley,4,55.5,Finn the Human,2,
Draco Malfoy,4,,Ice King,2,365.5
Jose Raul Capablanca,HallB,33.5,Lucas Sinclair,5,
Tigran Petrosian,HallB,28.5,Joyce Byers,5,
Paul Morphy,HallB,125,Dustin Henderson,5,
Emanuel Lasker,HallB,147.5,Eleven,5,
Alexander Alekhine,HallB,280,Jim Hopper,5,
Gandhi,HallA,,WALKOVER,,
Teddy Roosevelt,HallA,,WALKOVER,,
Cleopatra,HallA,,WALKOVER,,
Qin Shi Huang,HallA,,WALKOVER,,
